Date,Hours Stood,Exercise Minutes,Move Calories,Time In Bed,Deep Sleep,Core Sleep,REM Sleep,Awake,,
2/4/2023,13,11,217,8:29,0.14,0.58,0.26,0.02,,
2/5/2023,9,13,250,8:03,0.13,0.56,0.26,0.05,, 
2/6/2023,13,12,293,8:22,0.09,0.66,0.23,0.02,,
2/7/2023,12,19,366,8:15,0.11,0.67,0.21,0.01,,
2/8/2023,12,11,312,8:12,0.09,0.64,0.23,0.04,,
2/9/2023,12,18,358,7:31,0.09,0.69,0.19,0.03,,
2/10/2023,13,19,320,8:28,0.08,0.66,0.23,0.03,,
2/11/2023,13,28,445,9:07,0.17,0.53,0.23,0.07,,
2/12/2023,12,12,330,6:06,0.15,0.64,0.15,0.06,,
2/13/2023,14,22,391,7:32,0.22,0.52,0.23,0.03,,
2/14/2023,13,16,331,7:27,0.14,0.63,0.21,0.02,,
2/15/2023,13,21,331,8:02,0.11,0.63,0.24,0.02,,
2/16/2023,14,32,366,8:07,0.10,0.61,0.26,0.03,,
2/17/2023,16,4,263,8:38,0.14,0.60,0.24,0.02,,
2/18/2023,15,65,778,8:59,0.07,0.70,0.20,0.03,,
